जिल्ला,स्थानीय तह,जम्मा परिवार संख्या,जम्मा जनगणना घर संख्या,जम्मा जनसंख्या,जम्मा पुरुष,जम्मा महिला
कैलाली,लम्कीचुहा नगरपालिका,20801,19367,90941,42795,48146
कैलाली,मोहन्याल गाउँपालिका,4450,4226,21285,10375,10910
कैलाली,टिकापुर नगरपालिका,20953,19091,90115,43354,46761
कञ्चनपुर,बेदकोट नगरपालिका,12780,11904,58250,27055,31195
कञ्चनपुर,बेलडाँडी गाउँपालिका,4727,4471,22041,9939,12102
कञ्चनपुर,बेलौरी नगरपालिका,11154,10296,53918,25526,28392
कञ्चनपुर,भीमदत्त नगरपालिका,27691,24715,123316,59400,63916
कञ्चनपुर,कृष्णपुर नगरपालिका,15272,14217,72501,34347,38154
कञ्चनपुर,लालझाडी गाउँपालिका,4822,4666,25271,12282,12989
कञ्चनपुर,दोधारा चाँदनी नगरपालिका,9657,8891,43486,19254,24232
कञ्चनपुर,पुनर्वास नगरपालिका,13676,12895,61628,28286,33342
कञ्चनपुर,शुक्लाफाँटा नगरपालिका,12120,11316,54379,24948,29431
डडेल्धुरा,आलिताल गाउँपालिका,3743,3421,18125,8773,9352
डडेल्धुरा,अजयमेरु गाउँपालिका,3479,2987,15243,7167,8076
डडेल्धुरा,अमरगढी नगरपालिका,6385,4752,24792,12515,12277
डडेल्धुरा,भागेश्वर गाउँपालिका,2812,2362,13112,6290,6822
डडेल्धुरा,गन्यापधुरा गाउँपालिका,3360,2788,13655,6158,7497
डडेल्धुरा,नवदुर्गा गाउँपालिका,4335,3634,18745,8194,10551
डडेल्धुरा,परशुराम नगरपालिका,7494,6559,35748,16833,18915
बैतडी,दशरथचन्द नगरपालिका,7339,6095,31786,15053,16733
बैतडी,डीलासैनी गाउँपालिका,4925,3930,23233,11347,11886
बैतडी,दोगडाकेदार गाउँपालिका,4774,3998,23619,10854,12765
बैतडी,मेलौली नगरपालिका,4626,3890,21000,9735,11265
बैतडी,पञ्चेश्वर गाउँपालिका,3617,2986,17780,8130,9650
बैतडी,पाटन नगरपालिका,6276,5195,28360,13415,14945
बैतडी,पुर्चौडी नगरपालिका,7236,6417,38666,18701,19965
बैतडी,शिवनाथ गाउँपालिका,3435,2919,18247,8489,9758
बैतडी,सिगास गाउँपालिका,4367,3652,23479,11153,12326
बैतडी,सुर्नया गाउँपालिका,3877,3206,18230,8549,9681
दार्चुला,अपिहिमाल गाउँपालिका,1363,1256,7023,3438,3585
दार्चुला,व्याँस गाउँपालिका,2361,2168,10205,4884,5321
दार्चुला,दुहुँ गाउँपालिका,2293,1906,9912,4580,5332
दार्चुला,लेकम गाउँपालिका,3045,2645,13638,6520,7118
दार्चुला,महाकाली नगरपालिका,6080,4596,24572,12072,12500
दार्चुला,मालिकार्जुन गाउँपालिका,3241,2993,15754,7631,8123
दार्चुला,मार्मा गाउँपालिका,3086,2704,15586,7551,8035
दार्चुला,नौगाड गाउँपालिका,3156,2920,16434,7988,8446
दार्चुला,शैल्यशिखर नगरपालिका,4561,4012,21932,10685,11247
